name,calories,protein,fat,carbs,category
"Hummus, commercial",229.0,7.35,17.1,14.9,fat
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,3.35,1.9,4.91,carb
"Tomatoes, grape, raw",27.0,0.83,0.63,5.51,vegetable
"Beans, snap, green, canned, regular pack, drained solids",21.0,1.04,0.39,4.11,vegetable
"Broccoli, raw",32.0,2.57,0.34,6.29,vegetable
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,3.38,0.95,5.19,carb
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,3.43,0.08,4.89,vegetable
"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,3.28,3.2,4.67,fat
"Frankfurter, beef, unheated",314.0,11.7,28.0,2.89,fat
"Nuts, almonds, dry roasted, with salt added",620.0,20.4,57.8,16.2,fat
"Cheese, ricotta, whole milk",157.0,7.81,11.0,6.86,fat
"Kale, raw",35.0,2.92,1.49,4.42,carb
"Egg, whole, raw, frozen, pasteurized",150.0,12.3,10.3,0.91,fat
"Egg, white, raw, frozen, pasteurized",48.0,10.1,0.16,0.74,protein
"Egg, white, dried",376.0,79.9,0.65,6.02,protein
"Sauce, salsa, ready-to-serve",29.0,1.44,0.19,6.74,vegetable
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,13.3,28.7,3.37,fat
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",288.0,4.52,14.4,36.3,carb
"Pickles, cucumber, dill or kosher dill",12.0,0.48,0.43,1.99,vegetable
"Peanut butter, smooth style, with salt",597.0,22.5,51.1,22.3,fat
"Cheese, parmesan, grated",421.0,29.6,28.0,12.4,fat
"Cheese, pasteurized process, American, vitamin D fortified",366.0,18.0,30.6,5.27,fat
"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,0.7,7.59,vegetable
"Peaches, yellow, raw",42.0,0.91,0.27,10.1,vegetable
"Seeds, sunflower seed kernels, dry roasted, with salt added",612.0,21.0,56.1,17.1,fat
"Sausage, Italian, pork, mild, cooked, pan-fried",322.0,18.2,26.2,2.15,fat
"Bread, white, commercially prepared",270.0,9.43,3.59,49.2,carb
"Sausage, turkey, breakfast links, mild, raw",169.0,16.7,10.4,0.93,protein
"Cheese, swiss",393.0,27.0,31.0,1.44,fat
"Kale, frozen, cooked, boiled, drained, without salt",36.0,2.94,1.21,5.3,carb
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37.0,0.81,0.47,7.92,vegetable
"Mustard, prepared, yellow",61.0,4.25,3.38,5.3,fat
"Figs, dried, uncooked",249.0,3.3,0.92,63.9,carb
"Kiwifruit, green, raw",58.0,1.06,0.44,14.0,carb
"Melons, cantaloupe, raw",34.0,0.82,0.18,8.16,vegetable
"Nectarines, raw",39.0,1.06,0.28,9.18,vegetable
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.0,0.91,0.15,11.8,vegetable
"Strawberries, raw",31.0,0.64,0.22,7.63,vegetable
"Lettuce, cos or romaine, raw",17.0,1.24,0.26,3.24,vegetable
"Cheese, cheddar",408.0,23.3,34.0,2.44,fat
