fdc_id,name,calories,carbs,fat,protein
321358,"Hummus, commercial",229.0,14.9,17.1,7.35
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,4.91,1.9,3.35
321360,"Tomatoes, grape, raw",27.0,5.51,0.63,0.83
321611,"Beans, snap, green, canned, regular pack, drained solids",21.0,4.11,0.39,1.04
321900,"Broccoli, raw",32.0,6.29,0.34,2.57
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,5.19,0.95,3.38
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,4.89,0.08,3.43
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,4.67,3.2,3.28
323121,"Frankfurter, beef, unheated",314.0,2.89,28.0,11.7
323294,"Nuts, almonds, dry roasted, with salt added",620.0,16.2,57.8,20.4
323444,"Cheese, ricotta, whole milk",157.0,6.86,11.0,7.81
323505,"Kale, raw",35.0,4.42,1.49,2.92
323604,"Egg, whole, raw, frozen, pasteurized",150.0,0.91,10.3,12.3
323697,"Egg, white, raw, frozen, pasteurized",48.0,0.74,0.16,10.1
323793,"Egg, white, dried",376.0,6.02,0.65,79.9
324038,"Sauce, salsa, ready-to-serve",29.0,6.74,0.19,1.44
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,3.37,28.7,13.3
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",288.0,36.3,14.4,4.52
324653,"Pickles, cucumber, dill or kosher dill",12.0,1.99,0.43,0.48
324860,"Peanut butter, smooth style, with salt",597.0,22.3,51.1,22.5
325036,"Cheese, parmesan, grated",421.0,12.4,28.0,29.6
325198,"Cheese, pasteurized process, American, vitamin D fortified",366.0,5.27,30.6,18.0
325287,"Grapefruit juice, white, canned or bottled, unsweetened",37.0,7.59,0.7,0.55
325430,"Peaches, yellow, raw",42.0,10.1,0.27,0.91
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",612.0,17.1,56.1,21.0
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",322.0,2.15,26.2,18.2
325871,"Bread, white, commercially prepared",270.0,49.2,3.59,9.43
325992,"Sausage, turkey, breakfast links, mild, raw",169.0,0.93,10.4,16.7
326135,"Cheese, swiss",393.0,1.44,31.0,27.0
326196,"Kale, frozen, cooked, boiled, drained, without salt",36.0,5.3,1.21,2.94
326458,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37.0,7.92,0.47,0.81
326698,"Mustard, prepared, yellow",61.0,5.3,3.38,4.25
326905,"Figs, dried, uncooked",249.0,63.9,0.92,3.3
327046,"Kiwifruit, green, raw",58.0,14.0,0.44,1.06
327198,"Melons, cantaloupe, raw",34.0,8.16,0.18,0.82
327357,"Nectarines, raw",39.0,9.18,0.28,1.06
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.0,11.8,0.15,0.91
327699,"Strawberries, raw",31.0,7.63,0.22,0.64
327923,"Lettuce, cos or romaine, raw",17.0,3.24,0.26,1.24
328637,"Cheese, cheddar",408.0,2.44,34.0,23.3
328841,"Cheese, cottage, lowfat, 2% milkfat",84.0,4.31,2.3,11.0
329370,"Cheese, mozzarella, low moisture, part-skim",298.0,4.44,20.4,23.7
329490,"Egg, whole, dried",575.0,1.87,39.8,48.1
329596,"Egg, yolk, raw, frozen, pasteurized",296.0,0.59,25.1,15.6
329716,"Egg, yolk, dried",654.0,1.07,55.5,34.2
329830,"Cheese, dry white, queso seco",326.0,2.07,24.3,24.5
330137,"Yogurt, Greek, plain, nonfat",61.0,3.64,0.37,10.3
330415,"Yogurt, Greek, strawberry, nonfat",83.0,12.2,0.15,8.06
330458,"Oil, coconut",833.0,0.84,99.1,0.0
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,0.0,11.6,27.1
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,0.0,5.95,23.9
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166.0,0.0,3.24,32.1
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",45.0,8.05,1.48,1.41
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106.0,0.27,3.73,16.7
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",57.0,15.1,0.16,0.38
